name,online_order,book_table,rate,votes,location,cuisines,cost_for_two,normalized_rating
kitchens@jp nagar,yes,no,3.9,488,jp nagar,"biryani, kerala, mughlai, street food, north indian, chinese, south indian, andhra",400,3.902400445512649
krishna kuteera,yes,no,4.0,396,bannerghatta road,"south indian, north indian, chinese",400,3.9427457757934645
apna punjab,yes,no,3.6,474,btm,"north indian, chinese, fast food",450,3.7689108739043653
paratha junction,yes,no,2.9,172,btm,"north indian, chinese",300,3.677968650993642
nellore bhojanam,yes,no,3.1,175,bannerghatta road,andhra,250,3.7206136823866176
momoz,yes,no,4.0,939,btm,"chinese, momos",600,3.9630654122275484
kalingas,yes,no,3.9,173,btm,"oriya, fast food",250,3.9033901579949593
kanteen the eatery,yes,no,3.9,77,bannerghatta road,north indian,400,3.903877366329564
kullad cafe,yes,no,3.9,326,btm,"north indian, cafe, fast food, beverages",200,3.9028245154941645
donne biriyani house,yes,no,3.3,212,jp nagar,"biryani, andhra",350,3.7448195276564746
litti twist,yes,no,4.1,464,btm,"north indian, bihari",300,3.9904171381119893
freshmenu,yes,no,3.3,628,bannerghatta road,"healthy food, chinese, biryani, north indian, continental, salad, american, burger",450,3.593018934133018
shanthi sagar,yes,no,3.6,518,jp nagar,"south indian, north indian, chinese",400,3.7622092702508105
cakebuy,yes,no,3.9,70,bannerghatta road,desserts,350,3.9039184276976533
five star chicken,yes,no,3.9,62,jp nagar,"burger, fast food, roast chicken, finger food",300,3.9039664329374406
corner house ice cream,yes,no,4.4,819,jayanagar,"ice cream, desserts",400,4.19226246858734
behrouz biryani,yes,no,4.0,138,bannerghatta road,biryani,650,3.922482963934361
hind ka chulah,yes,no,3.8,181,bannerghatta road,"north indian, biryani",600,3.879909430969105
bohra bohra cafãâãâãâãâãâãâãâãâ©,yes,no,3.6,43,jp nagar,bohri,300,3.8837382976469224
pizza hut,yes,no,2.7,159,jp nagar,pizza,750,3.649053440944199
subway,yes,no,3.2,166,bannerghatta road,"salad, fast food",600,3.749920846378004
biryani durbar,yes,no,3.7,128,bannerghatta road,"biryani, north indian",400,3.8679973306093864
mahesh friends food center,yes,no,2.9,126,btm,"chinese, north indian",300,3.727880168351672
kabab magic,yes,no,4.0,952,jayanagar,"north indian, kebab, chinese, fast food",400,3.9633765915153267
burger king,yes,no,3.8,472,bannerghatta road,"burger, fast food, beverages",600,3.8580339423406853
dadi's dum biryani,yes,yes,4.0,739,bannerghatta road,"biryani, north indian, mughlai",800,3.957511338878308
alankrutha,yes,no,3.9,255,btm,"andhra, biryani, north indian, chinese",500,3.903061561120743
paradise,yes,no,4.0,1974,jp nagar,"biryani, north indian, kebab",800,3.977968842381345
andhra ruchulu,yes,yes,4.2,1428,jp nagar,"andhra, north indian",800,4.113467102876745
adithya,yes,no,4.0,332,jp nagar,"south indian, north indian, chinese",300,3.9387758187520574
cheesiano pizza,yes,yes,4.0,199,jp nagar,"pizza, italian",700,3.9284684565925936
kfc,yes,no,3.9,437,jp nagar,"burger, fast food",400,3.9025195337627903
dande's hyderabad biryani,yes,no,3.8,207,bannerghatta road,"biryani, andhra, north indian",700,3.877305865549059
upahara bhavan,yes,no,3.8,55,bannerghatta road,"south indian, north indian, chinese",300,3.8954954809723663
shuddh desi khana,yes,no,4.0,597,bannerghatta road,north indian,400,3.9524327278688123
aramane donne biriyani,yes,no,3.9,189,btm,"biryani, fast food",300,3.9033206162924983
mani's dum biryani,yes,no,4.2,373,jp nagar,"biryani, kebab",750,4.018765643888122
amontron,yes,no,3.9,435,btm,bengali,650,3.9025244451346484
birinz,yes,no,4.1,292,btm,"biryani, chinese, mughlai, fast food, kebab",700,3.969071439080576
just shawarma,yes,no,3.6,137,bannerghatta road,arabian,300,3.8471017592144907
hyderabadi bawarchi,yes,no,3.2,133,bannerghatta road,"north indian, chinese, biryani",500,3.774986299320648
fish chain,yes,no,3.9,37,jp nagar,"seafood, bbq, biryani",250,3.9041243323378167
prasiddhi food corner,yes,no,3.7,170,jp nagar,"fast food, north indian, south indian",200,3.8587254674220093
hyderabad biryaani house,yes,no,3.6,794,bannerghatta road,"biryani, north indian, chinese",550,3.7298845348073284
galito's,yes,no,4.6,404,bannerghatta road,"african, burger",1000,4.186824201716733
rajdhani thali restaurant,yes,yes,3.9,561,bannerghatta road,north indian,900,3.9022483339480463
phew (play hard eat wild),yes,yes,3.9,486,btm,"continental, lebanese, middle eastern, north indian, chinese, bbq, cafe",700,3.9024049031644834
chicken county grand,yes,no,3.9,320,bannerghatta road,"north indian, chinese",650,3.9028431182306793
roll over,yes,no,4.1,237,jp nagar,"desserts, ice cream, beverages, fast food, sandwich",500,3.9603744936088754
savoury - sea shell restaurant,yes,yes,3.9,1227,bannerghatta road,"arabian, north indian, chinese, seafood, biryani, rolls, beverages",900,3.9014246868581677
firangi bake,yes,no,4.0,95,bannerghatta road,"mexican, italian",600,3.917624024355902
kundana,yes,no,3.7,110,bannerghatta road,"andhra, biryani",800,3.872311099441011
the shawarma shop,yes,no,4.1,381,btm,arabian,250,3.981059753814968
faasos,yes,no,3.9,251,bannerghatta road,"north indian, biryani, fast food",500,3.903076105354096
punjabi food corner,yes,no,3.0,353,jp nagar,"north indian, chinese, street food",400,3.566197119394226
mealer.in,yes,no,4.0,205,jp nagar,"north indian, biryani",450,3.9290076390805893
pathaan sir,yes,no,3.9,183,btm,"fast food, rolls, momos",250,3.9033463575040686
cold stone creamery,yes,no,3.9,99,bannerghatta road,"ice cream, desserts",400,3.9037537401567377
amritsari kulcha land,yes,no,4.1,260,jp nagar,north indian,300,3.9641481559437706
chokha chowka,yes,no,3.9,355,btm,"north indian, chinese",400,3.902737928866965
gorbandh,yes,no,4.1,83,btm,"fast food, north indian",400,3.928471929834049
grills & rolls,yes,no,2.5,321,jp nagar,"north indian, chinese, fast food, rolls, juices",400,3.4100768428817423
bathinda junction,yes,no,3.9,362,btm,north indian,600,3.902717818161751
stories,yes,yes,4.2,2166,jp nagar,"american, chinese, continental, north indian",1200,4.136630424631175
kanti sweets,yes,no,4.0,182,jp nagar,"mithai, street food",400,3.9268953178630643
seasons,yes,yes,3.8,500,bannerghatta road,"north indian, south indian, chinese, seafood, kerala, arabian, juices",1000,3.856544528605086
chung wah,yes,no,4.0,532,bannerghatta road,"chinese, thai, momos, vietnamese",800,3.949679501966294
marwa restaurant,yes,yes,3.5,551,bannerghatta road,"north indian, chinese, fast food, bbq",600,3.7092732755763125
shanghai court,yes,no,4.2,421,bannerghatta road,"chinese, thai",700,4.027361739830186
bhojohori manna,yes,no,3.7,662,jp nagar,"bengali, mughlai",650,3.7964007028796085
hunger bee,yes,no,3.8,54,bannerghatta road,"biryani, north indian, south indian",500,3.8956435359816264
yum in my tum,yes,no,4.1,92,btm,"chinese, continental, fast food, healthy food",300,3.9307321825887973
biryani miya,yes,no,3.7,36,jp nagar,"biryani, north indian",600,3.8926476566318167
chulha chauki da dhaba,yes,no,4.2,2350,jp nagar,north indian,800,4.140595063144559
magix's parattha roll,yes,no,3.7,184,btm,"fast food, north indian, chinese, mughlai, rolls",400,3.8558581686556757
elegant dining,yes,yes,3.6,225,bannerghatta road,"biryani, north indian, chinese",700,3.820453530279594
waffle head,yes,no,4.0,35,btm,"desserts, beverages, bakery, ice cream",300,3.909728563431548
basmati delights,yes,no,4.0,869,btm,"biryani, chinese, mughlai, fast food, kebab",500,3.961294575827499
samosa singh,yes,no,4.0,153,jp nagar,"street food, fast food, rolls, desserts",200,3.924045807403426
cravings,yes,no,3.7,139,bannerghatta road,"north indian, chinese, rolls",400,3.865465863983766
matka,yes,no,3.7,181,bannerghatta road,"biryani, north indian",500,3.856463835114183
punjabi swag,yes,no,3.9,669,btm,north indian,500,3.902055619609642
taco bell,yes,no,3.7,168,bannerghatta road,"mexican, american, fast food",600,3.8591437163480222
mother's rasoi,yes,no,3.8,170,bannerghatta road,"north indian, chinese, momos",250,3.8810644950172786
dosa bazaar,yes,no,4.0,112,jp nagar,"street food, south indian",200,3.9196160465265275
the bong palate,yes,no,3.8,58,btm,"bengali, north indian, chinese",300,3.895054053479428
bikaner jn,yes,no,3.9,85,jp nagar,rajasthani,300,3.9038314803374985
crunch pizzas,yes,no,2.6,473,btm,"italian, pizza",600,3.3245207525452525
kakal-kai ruchi,yes,no,3.7,217,jp nagar,"north indian, south indian, chinese",500,3.8494926741437485
calorie express,yes,no,3.6,192,btm,healthy food,450,3.829744675233907
bangalore box,yes,yes,4.2,611,btm,"asian, continental, finger food",1500,4.054650649507612
ovenstory pizza,yes,no,4.0,166,bannerghatta road,pizza,750,3.9253501726659827
chavadi,yes,yes,4.4,2233,bannerghatta road,"continental, north indian, pizza, italian",1200,4.296278357191271
nanna munna paratha house,yes,no,4.0,107,btm,north indian,300,3.919040230240901
cucumber town,yes,no,4.2,306,btm,"kerala, north indian",600,4.005228629552006
brewsky,yes,yes,4.4,4309,jp nagar,"continental, american",1600,4.340222465450643
chefeana,yes,no,4.0,212,bannerghatta road,north indian,400,3.9296265015045444
bangaliana,yes,no,2.9,153,bannerghatta road,bengali,600,3.697836129984071
gud dhani,yes,no,4.0,827,btm,rajasthani,500,3.960148152826621
mcdonald's,yes,no,4.0,256,bannerghatta road,"burger, fast food",500,3.933282267660152
deejas kitchen,yes,no,3.9,73,bannerghatta road,"south indian, kerala",400,3.9039007239580554
pancuzzi,yes,no,4.2,169,jp nagar,"cafe, beverages, desserts",600,3.9701185272475645
zhang's - chinese restaurant,yes,no,4.1,586,jp nagar,"chinese, momos",700,4.001775769505649
shagun sweets & foods,yes,no,3.5,221,btm,"mithai, north indian, street food, chinese",400,3.794322759492794
dev's gugababa,yes,no,3.5,177,btm,"bengali, north indian, chinese",500,3.8111850009220687
oogway express,yes,no,3.9,347,jp nagar,"chinese, thai, momos",600,3.902761280072653
domino's pizza,yes,no,3.0,347,bannerghatta road,"pizza, fast food",800,3.5698188493690286
pizza stop,yes,no,3.9,385,jp nagar,"pizza, italian",600,3.9026537712173655
the egg factory,yes,no,4.0,1305,jp nagar,"continental, american",750,3.9701951902469137
chow san,yes,no,3.0,122,bannerghatta road,"chinese, thai, momos",500,3.7496354568136727
momo jojo,yes,no,4.3,539,jp nagar,"chinese, tibetan, momos",300,4.093088566998362
simply indian,yes,yes,3.9,681,bannerghatta road,"north indian, chinese, seafood, biryani, mangalorean",800,3.9020362269718145
rithika's kitchen,yes,no,3.8,106,jp nagar,"biryani, south indian, andhra",350,3.8885080067548765
punjabi times,yes,yes,4.1,1025,bannerghatta road,north indian,1000,4.028459208359003
chai point,yes,no,3.6,132,bannerghatta road,"tea, beverages, fast food",250,3.8488106233860977
cravy wings,yes,no,4.2,289,bannerghatta road,"american, burger, fast food",400,4.001466000804715
funky punjab,yes,no,3.9,407,jp nagar,"north indian, chinese",500,3.90259527125065
punjabi corner,yes,no,3.9,201,bannerghatta road,"north indian, chinese",250,3.9032703039244305
zeeshan,yes,no,3.1,320,jp nagar,"north indian, mughlai, biryani, rolls",600,3.6218332389771115
ambara gardenia,yes,yes,3.8,257,bannerghatta road,"andhra, north indian, chinese, seafood",800,3.872747736684138
more pizza,yes,no,3.8,46,jp nagar,pizza,450,3.896844710687832
crafted plate,yes,yes,4.2,237,jp nagar,"cafe, asian, burger, continental, italian, salad",600,3.9889976820146726
shetty's kitchen,yes,no,3.7,108,bannerghatta road,mangalorean,600,3.872804121184762
machali port,yes,no,3.9,34,jp nagar,"mangalorean, seafood, north indian",750,3.904144129133038
garma garam,yes,no,3.2,144,bannerghatta road,"north indian, chinese, biryani, rolls",350,3.7663810621879574
the coastal crew by fujian on 24th,yes,yes,4.2,1028,jp nagar,"chinese, thai, seafood, north indian, momos",1100,4.092087758312631
bib - breakfast in the box,yes,no,3.8,84,bannerghatta road,"american, sandwich",600,3.8913927121602203
tandoor and spice,yes,no,4.0,181,jp nagar,"north indian, chinese, biryani, hyderabadi",550,3.9268006226789494
rock stone ice cream factory,yes,no,4.0,128,btm,ice cream,230,3.9214048410405407
paratha plaza,yes,no,3.8,171,jp nagar,north indian,250,3.8809581111655493
namma kudla,yes,no,3.9,200,jp nagar,"mangalorean, north indian, chinese, seafood",400,3.903274438316244
wangs kitchen,yes,no,3.0,114,bannerghatta road,chinese,1000,3.758141958451275
spice up,yes,no,3.8,146,jp nagar,chinese,600,3.883704315750541
tempteys,yes,no,4.2,248,btm,beverages,500,3.9917641009632288
crumb together,yes,yes,4.1,583,jp nagar,"continental, finger food, north indian, chinese",1200,4.001524770620229
the foodyz,yes,no,3.7,42,jp nagar,"north indian, chinese",500,3.8908216124931263
meat and eat,yes,no,3.7,79,jp nagar,"fast food, burger",500,3.880283702549476
nagarjuna,no,no,4.2,1278,bannerghatta road,"andhra, biryani",800,4.106522247569903
laddoos,yes,no,3.4,276,btm,"north indian, street food, mithai",250,3.743817855488061
new prashanth hotel,yes,no,3.1,64,jp nagar,"south indian, biryani, chinese, north indian",750,3.8257863827605325
waffle stories,yes,no,4.0,69,btm,"desserts, beverages",300,3.9143789101638617
late night,yes,no,3.7,288,kumaraswamy layout,"north indian, chinese",500,3.837417611727132
waffle walle,yes,no,4.3,676,bannerghatta road,"desserts, belgian, beverages",500,4.115461784300038
dakshin cafe,yes,no,4.1,140,jp nagar,south indian,100,3.9418468956335824
shake it off,yes,no,4.0,65,jp nagar,"beverages, fast food",600,3.913856830347788
two friends cauldron,yes,yes,4.1,448,jp nagar,"continental, italian, american",700,3.9887296253206435
bun town,yes,no,4.0,203,btm,"cafe, bakery",500,3.928828817012782
pot biryani,yes,no,3.1,166,bannerghatta road,"north indian, chinese, biryani, seafood",600,3.7279921805920067
mango tree- the beer garden,yes,yes,4.1,1320,jp nagar,"north indian, chinese, continental",1200,4.03950292030777
the jade kitchen,yes,no,4.0,116,jp nagar,"chinese, thai",400,3.9200708355136475
drunken monkey,yes,no,4.4,288,bannerghatta road,"beverages, fast food",400,4.06676914756331
funky punjab,yes,no,3.9,124,btm,"north indian, chinese",400,3.9036224905009074
intalia,yes,no,3.6,323,bannerghatta road,"pizza, italian",800,3.7968162808623074
hotel aradhana,yes,no,3.7,51,bannerghatta road,north indian,300,3.8881465431591105
the chervil,yes,no,4.2,229,jp nagar,"north indian, continental",1000,3.9869391228148157
new royal treat,yes,no,2.8,102,bannerghatta road,"north indian, chinese",350,3.741832728294587
i cool,yes,no,4.0,76,jp nagar,"juices, fast food",150,3.9152774823210628
asha sweets centre,yes,no,3.9,42,jp nagar,fast food,250,3.904091754673221
stoned monkey,yes,no,3.9,239,jp nagar,"desserts, ice cream",500,3.903120579166444
vinaya cafe,yes,no,3.7,55,jp nagar,"south indian, street food, juices",200,3.8869815490838215
world of waffles,yes,no,3.9,178,jp nagar,desserts,400,3.9033681153552005
oottupura family restaurant,yes,no,3.4,224,bannerghatta road,"kerala, south indian, biryani",400,3.765754700255398
vyanjan,yes,no,3.9,199,btm,"north indian, street food",300,3.903278583174872
watson's,yes,yes,4.0,1010,jp nagar,"finger food, chinese, continental",1300,3.9647033608420665
chicken man,yes,yes,3.8,72,jp nagar,"roast chicken, burger",400,3.8930468788961523
nandhana palace,no,yes,4.1,1000,bannerghatta road,"andhra, biryani, north indian, chinese",800,4.02733506015597
on the nose,yes,no,3.8,613,btm,"cafe, italian, mexican, chinese",600,3.8512376085615854
udupi thaja thindi,yes,no,2.9,42,btm,"north indian, south indian, chinese, fast food",250,3.837741043772747
baba ka dhaba,yes,no,3.7,194,btm,north indian,400,3.853872714277897
natural ice cream,no,no,4.3,423,bannerghatta road,"ice cream, desserts",150,4.069418225550443
churchill's,yes,yes,4.1,1403,jp nagar,"north indian, continental",1100,4.0420211036650695
the chocolate room,yes,no,3.9,153,jp nagar,"cafe, desserts",400,3.9034812912743933
aramane restaurant,yes,yes,2.9,90,bannerghatta road,"north indian, south indian, seafood, biryani, chinese",800,3.771644758749117
bawarchi inn,yes,no,3.1,140,btm,"north indian, biryani, andhra, chinese",600,3.750328427781325
ruh's cafe,yes,no,4.1,463,btm,"cafe, american, italian, continental, chinese",500,3.990313169552323
mojo pizza - 2x toppings,yes,no,4.2,384,bannerghatta road,pizza,600,4.020810339187845
california burrito,no,no,4.0,177,bannerghatta road,"mexican, fast food",400,3.9264193759220687
tandoor garden,yes,no,3.6,70,btm,"north indian, chinese, kebab",350,3.8721483823118743
caffe pascucci,yes,yes,4.0,790,jp nagar,"continental, italian, beverages",1300,3.9590804349805566
chaitanya cafe,yes,no,3.9,92,jp nagar,"south indian, north indian, fast food",300,3.9037922118713744
anand sweets and savouries,no,no,4.1,131,bannerghatta road,"mithai, street food",400,3.939875458044527
berrylicious,yes,no,3.8,89,jp nagar,"ice cream, desserts, bakery",400,3.890720706923749
